分类: 📺央视频道, 名称: CCTV-3, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 625 ms, 最高速率: 3.49 M/s, 平均速率: 3.49 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-1, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 572 ms, 最高速率: 7.54 M/s, 平均速率: 4.59 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 1121 ms, 最高速率: 3.87 M/s, 平均速率: 3.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1007 ms, 最高速率: 4.07 M/s, 平均速率: 4.07 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 1106 ms, 最高速率: 2.24 M/s, 平均速率: 2.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 615 ms, 最高速率: 3.90 M/s, 平均速率: 3.70 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 573 ms, 最高速率: 7.22 M/s, 平均速率: 4.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 632 ms, 最高速率: 3.36 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 783 ms, 最高速率: 5.41 M/s, 平均速率: 5.41 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 692 ms, 最高速率: 6.39 M/s, 平均速率: 6.39 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 186 ms, 最高速率: 7.08 M/s, 平均速率: 7.08 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 611 ms, 最高速率: 8.51 M/s, 平均速率: 8.51 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 195 ms, 最高速率: 7.09 M/s, 平均速率: 7.09 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 574 ms, 最高速率: 8.20 M/s, 平均速率: 8.20 M/s, 最高分辨率: 1280x720
分类: 📺央视频道, 名称: CCTV-12, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 274 ms, 最高速率: 7.92 M/s, 平均速率: 7.92 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 563 ms, 最高速率: 7.97 M/s, 平均速率: 7.97 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 4, IPv4: 8, IPv6: 0, 最小延迟: 354 ms, 最高速率: 17.16 M/s, 平均速率: 4.79 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 2, IPv4: 9, IPv6: 0, 最小延迟: 594 ms, 最高速率: 8.80 M/s, 平均速率: 4.53 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 122 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 1003 ms, 最高速率: 0.29 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 624 ms, 最高速率: 3.79 M/s, 平均速率: 2.34 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 310 ms, 最高速率: 15.83 M/s, 平均速率: 8.83 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 4 ms, 最高速率: 49.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 19x24
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1142 ms, 最高速率: 2.40 M/s, 平均速率: 2.40 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 120 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 194 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 122 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1105 ms, 最高速率: 2.44 M/s, 平均速率: 2.44 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 658 ms, 最高速率: 4.49 M/s, 平均速率: 4.31 M/s, 最高分辨率: 1920x1080
